date;cultural_venues;gastronomy;essential_retail;non-essential_retail;major_events;events_and_gatherings;public_gatherings;traceability;tourism;traveling;school_facilities;university_facilities;sport_facilities;medical_facilities;mouth_and_nose_covering;curfew;new_infections
2021-02-28;closed;closedw/dp;openw/meas;closed;prohibited;prohibitedw/ex_trials;allowed_2h_1p;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;92
2021-03-01;closed;closedw/dp;openw/meas;closed;prohibited;prohibitedw/ex_trials;allowed_2h_1p;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;104
2021-03-02;closed;closedw/dp;openw/meas;closed;prohibited;prohibitedw/ex_trials;allowed_2h_1p;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;131
2021-03-03;closed;closedw/dp;openw/meas;closed;prohibited;prohibitedw/ex_trials;allowed_2h_1p;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;89
2021-03-04;closed;closedw/dp;openw/meas;closed;prohibited;prohibitedw/ex_trials;allowed_2h_1p;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;111
2021-03-05;closed;closedw/dp;openw/meas;closed;prohibited;prohibitedw/ex_trials;allowed_2h_1p;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;140
2021-03-06;closed;closedw/dp;openw/lim_1p_10sqm;closed;prohibited;prohibitedw/ex_trials;allowed_2h_5ppl;yes;prohibited;ra_10dqua_postestM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;99
2021-03-07;closed;closedw/dp;openw/lim_1p_10sqm;closed;prohibited;prohibitedw/ex_trials;allowed_2h_5ppl;yes;prohibited;ra_10dqua_postestM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;32
2021-03-08;openw/appointment;closedw/dp;openw/lim_1p_10sqm;closed;prohibited;prohibitedw/ex_trials;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;106
2021-03-09;openw/appointment;closedw/dp;openw/lim_1p_10sqm;closed;prohibited;prohibitedw/ex_trials;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;154
2021-03-10;openw/appointment;closedw/dp;openw/lim_1p_10sqm;closed;prohibited;prohibitedw/ex_trials;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;173
2021-03-11;openw/appointment;closedw/dp;openw/lim_1p_10sqm;closed;prohibited;prohibitedw/ex_trials;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;239
2021-03-12;openw/appointment;closedw/dp;openw/lim_1p_10sqm;closed;prohibited;prohibitedw/ex_trials;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;174
2021-03-13;openw/appointment;closedw/dp;openw/lim_1p_10sqm;closed;prohibited;prohibitedw/ex_trials;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;152
2021-03-14;openw/appointment;closedw/dp;openw/lim_1p_10sqm;closed;prohibited;prohibitedw/ex_trials;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;88
2021-03-15;openw/appointment;closedw/dp;openw/lim_1p_10sqm;closed;prohibited;prohibitedw/ex_trials;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;184
2021-03-16;openw/appointment;closedw/dp;openw/lim_1p_10sqm;closed;prohibited;prohibitedw/ex_trials;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;131
2021-03-17;openw/appointment;closedw/dp;openw/lim_1p_10sqm;closed;prohibited;prohibitedw/ex_trials;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;262
2021-03-18;openw/appointment;closedw/dp;openw/lim_1p_10sqm;closed;prohibited;prohibitedw/ex_trials;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;162
2021-03-19;openw/appointment;closedw/dp;openw/lim_1p_10sqm;closed;prohibited;prohibitedw/ex_trials;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;164
2021-03-20;openw/appointment;closedw/dp;openw/lim_1p_10sqm;closed;prohibited;prohibitedw/ex_trials;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;184
2021-03-21;openw/appointment;closedw/dp;openw/lim_1p_10sqm;closed;prohibited;prohibitedw/ex_trials;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;152
